Employee,Department,Location,Sex, Salary ,Date Hired,Exempt
Krista Orcutt,Technology,Pennsylvania,Female,"$54,176.00 ",10/22/1991,FALSE
Cora Soto,Management,Massachusetts,Female,"$58,120.00 ",1/15/1992,TRUE
James Millen,Finance,Washington,Male,"$26,135.00 ",5/25/1992,FALSE
Tara Applewhite,Marketing,California,Female,"$80,274.00 ",5/30/1992,TRUE
Devin Lear,Marketing,Massachusetts,Male,"$43,532.00 ",6/29/1992,FALSE
Lucile Sexton,Marketing,Washington,Female,"$68,637.00 ",7/18/1992,TRUE
Jarrod Faith,Marketing,California,Male,"$53,478.00 ",8/21/1992,FALSE
Terry Gross,Management,Massachusetts,Male,"$64,497.00 ",9/19/1992,TRUE
Jim Martin,Management,Pennsylvania,Male,"$32,433.00 ",10/7/1992,FALSE
Kathy Weatherby,Finance,California,Female,"$23,464.00 ",10/7/1992,FALSE
Nancy Garcia,Technology,Pennsylvania,Female,"$54,145.00 ",11/15/1992,FALSE
Joel Thomas,Technology,New York,Male,"$63,248.00 ",12/24/1992,TRUE
Alan Ruley,Technology,California,Male,"$57,445.00 ",1/4/1993,TRUE
Jose D. Skaggs,Technology,Arizona,Male,"$54,778.00 ",2/12/1993,FALSE
Richard L. Anderson,Finance,Arizona,Male,"$68,548.00 ",2/24/1993,TRUE
Dustin Tate,Technology,Pennsylvania,Male,"$58,960.00 ",3/4/1993,TRUE
Eddie Mangual,Technology,California,Male,"$23,810.00 ",3/6/1993,FALSE
Kimberly Vos,Finance,Massachusetts,Female,"$57,568.00 ",3/18/1993,TRUE
Eric V. White,Technology,Pennsylvania,Male,"$35,177.00 ",4/7/1993,FALSE
Beverly Escobar,Marketing,Pennsylvania,Female,"$63,680.00 ",5/25/1993,TRUE
Richard Guard,Finance,Massachusetts,Male,"$60,587.00 ",5/28/1993,TRUE
Michael Atwood,Marketing,California,Male,"$64,411.00 ",7/13/1993,TRUE
Jennifer D. Heath,Finance,New York,Female,"$23,739.00 ",8/6/1993,FALSE
Otis Ballenger,Marketing,New York,Male,"$42,638.00 ",8/8/1993,FALSE
Reina Shuffler,Technology,California,Female,"$66,224.00 ",8/21/1993,TRUE
Steven H. Katz,Technology,Pennsylvania,Male,"$80,094.00 ",9/24/1993,TRUE
Raymond Kruger,Finance,New York,Male,"$52,925.00 ",9/29/1993,FALSE
Gregory Steiger,Management,California,Male,"$57,438.00 ",9/29/1993,TRUE
PhyllisTodd,Management,Massachusetts,Female,"$23,142.00 ",10/24/1993,FALSE
Alec Dunbar,Management,California,Male,"$45,996.00 ",10/29/1993,FALSE
Janet D. Donegan,Technology,New York,Female,"$63,407.00 ",1/18/1994,TRUE
Renae Burns,Finance,California,Female,"$29,561.00 ",1/28/1994,FALSE
James Millen,Finance,Pennsylvania,Male,"$59,742.00 ",2/5/1994,TRUE
Ethel Sexton,Finance,Massachusetts,Female,"$63,519.00 ",2/22/1994,TRUE
Amos Bowes,Finance,New York,Male,"$83,049.00 ",4/23/1994,TRUE
Amy Fetter,Technology,Massachusetts,Female,"$23,778.00 ",5/27/1994,FALSE
Bennie Evans,Technology,Washington,Male,"$67,839.00 ",6/3/1994,TRUE
Dustin Myres,Technology,Pennsylvania,Male,"$41,788.00 ",6/3/1994,FALSE
Jeff Ryan,Finance,New York,Male,"$81,380.00 ",6/13/1994,TRUE
Whitney Johnson,Marketing,New York,Female,"$50,832.00 ",8/29/1994,FALSE
Clark Bickerson,Marketing,California,Male,"$46,272.00 ",8/31/1994,FALSE
Carol Wood,Marketing,Massachusetts,Female,"$38,660.00 ",9/8/1994,FALSE
Christine Poundsworth,Technology,Massachusetts,Female,"$30,225.00 ",10/3/1994,FALSE
Walter Thompson,Technology,California,Male,"$29,466.00 ",10/3/1994,FALSE
Randy Pruitt,Technology,Washington,Male,"$40,321.00 ",10/22/1994,FALSE
Karyn Hernandez,Finance,Massachusetts,Female,"$67,208.00 ",10/25/1994,TRUE
Cynthia Beard,Finance,California,Female,"$61,123.00 ",11/8/1994,TRUE
Brenda White,Finance,California,Female,"$79,004.00 ",11/11/1994,TRUE
James Deluna,Finance,Washington,Male,"$24,249.00 ",11/20/1994,FALSE
Marie Doyle,Finance,New York,Female,"$21,611.00 ",1/16/1995,FALSE
Raymond Cyr,Finance,Pennsylvania,Male,"$79,366.00 ",1/23/1995,TRUE
Rosemary Vaughn,Technology,New York,Female,"$55,963.00 ",2/1/1995,TRUE
Donald Jackson,Technology,California,Male,"$25,263.00 ",2/20/1995,FALSE
Lisa Golden,Technology,New York,Female,"$82,910.00 ",3/4/1995,TRUE
Debbie Barlow,Technology,California,Female,"$41,530.00 ",5/12/1995,FALSE
Brandy Walker,Technology,Washington,Female,"$61,685.00 ",5/20/1995,TRUE
Charles S. Billings,Finance,Pennsylvania,Male,"$59,798.00 ",5/29/1995,TRUE
Janet Woodson,Marketing,Arizona,Female,"$56,428.00 ",7/2/1995,TRUE
Clark Bickerson,Marketing,New York,Male,"$41,179.00 ",8/14/1995,FALSE
Ruth Roberts,Marketing,Arizona,Female,"$31,017.00 ",8/19/1995,FALSE
Shirley Henderson,Marketing,Massachusetts,Female,"$44,550.00 ",8/28/1995,FALSE
David B. Ortiz,Management,Massachusetts,Male,"$20,558.00 ",9/4/1995,FALSE
Micheal Belt,Finance,Massachusetts,Male,"$20,043.00 ",9/8/1995,FALSE
Kevin Whited,Finance,Massachusetts,Male,"$66,459.00 ",9/13/1995,TRUE
Rosa Johnson,Finance,Massachusetts,Female,"$84,084.00 ",10/5/1995,TRUE
Sylvia Saenz,Finance,New York,Female,"$44,430.00 ",10/17/1995,FALSE
Bruce Burke,Finance,Pennsylvania,Male,"$41,281.00 ",12/5/1995,FALSE
